"","X","user","time","error","qType","interfaceType","ans","correct","age","sex","degree","monitor","computer","expert","expertProgressive","presentationOrder","corr1","corr5","corr10","corr20"
"35",34,"jt4qrcfg",64504,0.04,1,"B","147000","140859","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"36",35,"jt4qrcfg",65585,0,2,"B","b","B","50-59","Male","High School","21","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"37",36,"jt4qt8te",13538,0.02,0,"A","60000","58878","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,1,1,1
"38",37,"jt4qt8te",14326,0.09,1,"A","150000","164565","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,0,1,1
"39",38,"jt4qt8te",4624,0,2,"A","c","C","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",1,1,1,1
"40",39,"jt4qt8te",10255,0.17,0,"B","65000","78615","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,0,0,1
"41",40,"jt4qt8te",13859,0.15,1,"B","120000","140859","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,0,0,1
"42",41,"jt4qt8te",11758,1,2,"B","e","B","25-39","Male","Bachelors","23 or larger","31-40","high-intermediate","intermediate","[u'A', u'B']",0,0,0,0
"43",42,"jt4qup85",21975,0.32,0,"B","78000","58878","50-59","Female","High School","15","31-40","high-intermediate","intermediate","[u'B', u'A']",0,0,0,0
"44",43,"jt4qup85",31589,0.22,1,"B","200000","164565","50-59","Female","High School","15","31-40","high-intermediate","intermediate","[u'B', u'A']",0,0,0,0
"45",44,"jt4qup85",15859,1,2,"B","e","C","50-59","Female","High School","15","31-40","high-intermediate","intermediate","[u'B', u'A']",0,0,0,0
"46",45,"jt4qup85",25172,0.15,0,"A","67000","78615","50-59","Female","High School","15","31-40","high-intermediate","intermediate","[u'B', u'A']",0,0,0,1
"47",46,"jt4qup85",18508,0.14,1,"A","160000","140859","50-59","Female","High School","15","31-40","high-intermediate","intermediate","[u'B', u'A']",0,0,0,1
"48",47,"jt4qup85",9515,0,2,"A","b","B","50-59","Female","High School","15","31-40","high-intermediate","intermediate","[u'B', u'A']",1,1,1,1
"49",48,"jt4qwjb8",23223,0.02,0,"A","60000","58878","40-49","Male","Bachelors","23 or larger","gt60","intermediate","intermediate","[u'A', u'B']",0,1,1,1
"50",49,"jt4qwjb8",48476,0.09,1,"A","150000","164565","40-49","Male","Bachelors","23 or larger","gt60","intermediate","intermediate","[u'A', u'B']",0,0,1,1
"51",50,"jt4qwjb8",34839,0,2,"A","C","C","40-49","Male","Bachelors","23 or larger","gt60","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"52",51,"jt4qwjb8",16947,0.1,0,"B","71000","78615","40-49","Male","Bachelors","23 or larger","gt60","intermediate","intermediate","[u'A', u'B']",0,0,1,1
"53",52,"jt4qwjb8",30451,0.01,1,"B","140000","140859","40-49","Male","Bachelors","23 or larger","gt60","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"54",53,"jt4qwjb8",38996,0,2,"B","B","B","40-49","Male","Bachelors","23 or larger","gt60","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"55",54,"jt4qwmwx",25958,0.04,0,"A","61000","58878","25-39","Female","Other","23 or larger","51-60","novice","novice","[u'A', u'B']",0,1,1,1
"56",55,"jt4qwmwx",45154,0.08,1,"A","152000","164565","25-39","Female","Other","23 or larger","51-60","novice","novice","[u'A', u'B']",0,0,1,1
"57",56,"jt4qwmwx",37588,0,2,"A","C","C","25-39","Female","Other","23 or larger","51-60","novice","novice","[u'A', u'B']",1,1,1,1
"58",57,"jt4qwmwx",25638,0.02,0,"B","77000","78615","25-39","Female","Other","23 or larger","51-60","novice","novice","[u'A', u'B']",0,1,1,1
"59",58,"jt4qwmwx",29972,0.03,1,"B","145000","140859","25-39","Female","Other","23 or larger","51-60","novice","novice","[u'A', u'B']",0,1,1,1
"60",59,"jt4qwmwx",36182,0,2,"B","B","B","25-39","Female","Other","23 or larger","51-60","novice","novice","[u'A', u'B']",1,1,1,1
"61",60,"jt4riza4",26650,0.03,0,"B","57000","58878","25-39","Male","Bachelors","23 or larger","31-40","low-intermediate","low-intermediate","[u'B', u'A']",0,1,1,1
"62",61,"jt4riza4",22084,0.07,1,"B","153000","164565","25-39","Male","Bachelors","23 or larger","31-40","low-intermediate","low-intermediate","[u'B', u'A']",0,0,1,1
"63",62,"jt4riza4",20428,0,2,"B","C","C","25-39","Male","Bachelors","23 or larger","31-40","low-intermediate","low-intermediate","[u'B', u'A']",1,1,1,1
"64",63,"jt4riza4",30945,0.08,0,"A","72000","78615","25-39","Male","Bachelors","23 or larger","31-40","low-intermediate","low-intermediate","[u'B', u'A']",0,0,1,1
"65",64,"jt4riza4",32396,0.01,1,"A","142000","140859","25-39","Male","Bachelors","23 or larger","31-40","low-intermediate","low-intermediate","[u'B', u'A']",1,1,1,1
"66",65,"jt4riza4",38609,0,2,"A","B","B","25-39","Male","Bachelors","23 or larger","31-40","low-intermediate","low-intermediate","[u'B', u'A']",1,1,1,1
"67",66,"jt4rx72x",24984,0.01,0,"B","58000","58878","25-39","Male","Bachelors","21","41-50","novice","novice","[u'B', u'A']",1,1,1,1
"68",67,"jt4rx72x",41090,0.04,1,"B","158000","164565","25-39","Male","Bachelors","21","41-50","novice","novice","[u'B', u'A']",0,1,1,1
"69",68,"jt4rx72x",23121,1,2,"B","D","C","25-39","Male","Bachelors","21","41-50","novice","novice","[u'B', u'A']",0,0,0,0
"70",69,"jt4rx72x",12612,0.11,0,"A","70000","78615","25-39","Male","Bachelors","21","41-50","novice","novice","[u'B', u'A']",0,0,0,1
"71",70,"jt4rx72x",23734,0.02,1,"A","144000","140859","25-39","Male","Bachelors","21","41-50","novice","novice","[u'B', u'A']",0,1,1,1
"72",71,"jt4rx72x",17271,1,2,"A","E","B","25-39","Male","Bachelors","21","41-50","novice","novice","[u'B', u'A']",0,0,0,0
"73",72,"jt4rxs3f",34447,0.39,0,"B","82000","58878","25-39","Male","High School","23 or larger","31-40","novice","novice","[u'B', u'A']",0,0,0,0
"74",73,"jt4rxs3f",34072,0.5,1,"B","83000","164565","25-39","Male","High School","23 or larger","31-40","novice","novice","[u'B', u'A']",0,0,0,0
